bat_landing_to_food,seconds_after_rat_arrival,hours_after_sunset,rat_presence_intensity,foraging_efficiency,risk
16.0,108.0,1.870833333,0.009174311926605505,0.0,1
0.074015603,17.0,3.100833333,0.05555555555555555,0.9310851697188983,0
4.0,41.0,3.1075,0.023809523809523808,0.2,0
10.0,111.0,3.126944444,0.008928571428571428,0.0,1
15.0,194.0,3.15,0.005128205128205128,0.0,1
24.0,215.0,3.155833333,0.004629629629629629,0.0,1
13.0,253.0,3.166388889,0.003937007874015748,0.0,1
15.0,88.0,4.684444444,0.011235955056179775,0.0,1
6.0,113.0,4.691388889,0.008771929824561403,0.14285714285714285,0
3.0,121.0,4.693611111,0.00819672131147541,0.25,0
5.0,128.0,4.695555556,0.007751937984496124,0.16666666666666666,0
6.0,153.0,4.7025,0.006493506493506494,0.14285714285714285,0
10.0,208.0,4.717777778,0.004784688995215311,0.0,1
1.0,216.0,4.72,0.004608294930875576,0.0,1
2.0,37.0,8.8725,0.02631578947368421,0.0,1
5.0,199.0,4.2375,0.005,0.0,0
1.0,239.0,4.248611111,0.004166666666666667,0.0,0
1.0,14.0,2.868888889,0.06666666666666667,0.5,0
2.0,40.0,2.876111111,0.024390243902439025,0.0,1
26.0,68.0,2.883888889,0.014492753623188406,0.0,1
5.0,521.0,3.009722222,0.0019157088122605363,0.0,1
15.0,564.0,3.021666667,0.0017699115044247787,0.0625,1
24.0,607.0,3.033611111,0.001644736842105263,0.0,1
2.0,107.0,10.3770555532,0.009259259259259259,0.3333333333333333,0
2.0,358.0,10.3770555532,0.002785515320334262,0.3333333333333333,0
1.0,852.0,10.3770555532,0.0011723329425556857,0.0,0
0.049410419,12.0,6.591111111,0.07692307692307693,0.9529160201715131,0
1.0,14.0,6.591666667,0.06666666666666667,0.5,0
6.0,49.0,6.601388889,0.02,0.0,1
3.0,68.0,6.606666667,0.014492753623188406,0.25,0
8.0,84.0,6.611111111,0.011764705882352941,0.0,1
31.0,122.0,6.621666667,0.008130081300813009,0.0,1
0.01764558352,186.0,6.639444444,0.0053475935828877,0.9752349132913332,0
2.0,231.0,6.651944444,0.004310344827586207,0.3333333333333333,0
1.0,246.0,6.656111111,0.004048582995951417,0.0,0
9.0,253.0,6.658055556,0.003937007874015748,0.1,0
6.0,355.0,6.686388889,0.0028089887640449437,0.14285714285714285,0
11.0,742.0,10.3770555532,0.0013458950201884253,0.08333333333333333,0
2.0,115.0,9.108333333,0.008620689655172414,0.3333333333333333,0
3.0,195.0,2.522777778,0.00510204081632653,0.0,1
1.0,168.0,5.168333333,0.005917159763313609,0.5,0
4.0,113.0,6.673888889,0.008771929824561403,0.0,0
