,coef
Intercept,0.07925145471404332
C(risk)[T.1],1.9386045023287002
C(reward)[T.1],0.8847483330408252
"C(habit)[T.187.0,152.0,304.0,240.0; 567.9,88.6,621.1,140.3]",0.5999307181763669
"C(habit)[T.218.0,171.0,381.0,269.0; 239.0,106.0,315.0,155.0]",1.118677247582238
"C(habit)[T.243.6,235.6,432.2,329.8; 559.0,244.0,622.0,395.0]",1.5773402586530323
"C(habit)[T.245.6,179.5,321.4,314.0; 522.4,0.3,592.0,95.5]",0.6928786969608614
"C(habit)[T.373.0,80.0,504.0,148.0; 274.6,110.7,382.4,267.3]",1.0930652570544537
"C(habit)[T.380.6,321.1,550.6,477.5; 263.0,267.0,421.0,435.0]",4.348109655698751
"C(habit)[T.397.7,159.7,580.2,330.5; 252.0,92.0,346.0,149.0]",0.601507536817996
"C(habit)[T.405.6,112.3,513.1,215.4; 464.1,197.7,614.9,334.3; 511.5,301.1,639.4,388.9]",0.8485688766572328
"C(habit)[T.415.0,86.5,559.2,140.2; 66.0,157.0,285.0,279.0]",1.093579620375918
"C(habit)[T.417.7,117.1,635.5,346.0; 243.0,272.0,308.0,379.0; 438.0,230.0,494.0,291.0]",1.7290475572771622
"C(habit)[T.423.0,155.9,535.6,370.9; 238.0,99.0,314.0,160.0]",0.4258926509775984
"C(habit)[T.44.0,77.0,157.0,240.0; 253.0,96.0,346.0,147.0]",-0.01581912762798715
"C(habit)[T.501.0,358.4,636.2,423.4; 476.0,103.0,634.0,206.0]",2.965521880485947
"C(habit)[T.511.7,236.3,632.2,404.5; 445.0,199.0,503.0,245.0]",1.7697275153278766
"C(habit)[T.530.0,20.0,611.0,156.0; 227.6,128.8,290.8,208.0]",-0.13606547789127513
"C(habit)[T.94.0,305.0,239.0,416.0; 364.8,139.3,462.3,241.3]",2.2907025654475
C(habit)[T.all_pick],1.534506769177403
C(habit)[T.attack_rat],-1.6081889081840115
C(habit)[T.bat],-0.050085020806513336
C(habit)[T.bat_and_pick],-0.4218623262884033
C(habit)[T.bat_and_pick_far],-2.7375723145289492
C(habit)[T.bat_and_rat],-0.10590032003774649
C(habit)[T.bat_fight],-0.1251340719848052
C(habit)[T.bat_fight_and_pick],-1.5446553744620748
C(habit)[T.bat_fight_and_rat],1.4044788732355737
C(habit)[T.bat_fight_rat],1.3873366046711109
C(habit)[T.bat_figiht],-1.1059566188887553
C(habit)[T.bat_pick],0.31127949695939705
C(habit)[T.bat_pick_rat],-0.777992840431037
C(habit)[T.bat_rat],-0.7650597790902066
C(habit)[T.bat_rat_pick],-1.3108727591432618
C(habit)[T.bats],-0.17366723093949277
C(habit)[T.both],4.12256838833159
C(habit)[T.bowl_out],1.0026216373104104
C(habit)[T.eating],5.017289615341555
C(habit)[T.eating_and_bat_and_pick],1.927574715716067
C(habit)[T.eating_bat_pick],1.50785853474693
C(habit)[T.eating_bat_rat_pick],2.0568296576076843
C(habit)[T.fast],-0.07089212016382283
C(habit)[T.fast_and_pick],-0.32835912200473516
C(habit)[T.fast_far],-0.49512437955221356
C(habit)[T.fight],0.7681115815854918
C(habit)[T.fight_bat],1.077252446998924
C(habit)[T.fight_rat],-0.008414181841417623
C(habit)[T.gaze],0.8088540719208794
C(habit)[T.no_food],1.0478637259585617
C(habit)[T.not_sure_rat],-0.9449935569689671
C(habit)[T.other],1.052221585692673
C(habit)[T.other directions],1.4125704569794708
C(habit)[T.other_bat],0.4481636792864077
C(habit)[T.other_bats],0.34184711835366244
C(habit)[T.other_bats/rat],0.946812572851662
C(habit)[T.others],-0.9130386582265421
C(habit)[T.pick],1.2302313497668242
C(habit)[T.pick_and_all],-0.49150960045660025
C(habit)[T.pick_and_bat],-0.43142582481378866
C(habit)[T.pick_and_others],0.08625518862465398
C(habit)[T.pick_and_rat],-0.7193839596497025
C(habit)[T.pick_bat],-0.05945588567845622
C(habit)[T.pick_bat_rat],0.1996941726748157
C(habit)[T.pick_eating_all],1.1543579948081848
C(habit)[T.pick_rat],0.03372586144339329
C(habit)[T.pick_rat_and_bat],0.1300750004022142
C(habit)[T.pick_rat_bat],2.1750012485125954
C(habit)[T.pup_and_mon],1.4539108464459116
C(habit)[T.rat],-0.2651380359467325
C(habit)[T.rat attack],0.29586901811495636
C(habit)[T.rat_and_bat],0.11210801475459137
C(habit)[T.rat_and_bat_and_pick],0.2019729115153297
C(habit)[T.rat_and_no_food],-0.7779211378504292
C(habit)[T.rat_and_others],-0.06349907862040916
C(habit)[T.rat_and_pick],0.49768005411966976
C(habit)[T.rat_and_rat],1.5758695205960722
C(habit)[T.rat_attack],-1.6670505656545245
C(habit)[T.rat_bat],0.4339413102381886
C(habit)[T.rat_bat_fight],1.689044647298743
C(habit)[T.rat_disappear],-0.18706345582855594
C(habit)[T.rat_pick],-0.06446994483113316
C(habit)[T.rat_pick_and_bat],-2.7087181710301316
C(habit)[T.rat_to_bat],-2.0266933308688806
rat_activity_index,0.12077744093966668
rat_minutes,-0.20226589152359314
rat_arrival_number,0.1110696909997215
food_availability,-0.1083538907888773
hours_after_sunset,-0.07324309722041608
ratact_x_ratpresent,0.12077744093964449
food_x_season,0.09204533365566994
